category_group,orders,late_rate,avg_delivery_days,median_delivery_days,avg_review_score,revenue,avg_freight,company_late_rate,late_vs_company_pp
Other,1390,0.0749185667752443,12.728338762214984,11.0,3.9211726384364822,170660.74,17.549856677524428,0.06788769580990198,0.7030870965342328
Health & Beauty,11683,0.07275432688542564,11.795520400971101,9.0,4.18560576395959,1616238.94,18.11202678361657,0.06788769580990198,0.4866631075523667
Technology,15848,0.06782423016408182,12.964093054619015,11.0,4.008204551840405,2053335.42,18.346559339177343,0.06788769580990198,-0.00634656458201599
Home & Furniture,23697,0.06664602257087807,12.80921414808698,10.0,3.9379967656470427,2821251.07,21.5528062207542,0.06788769580990198,-0.12416732390239105
Industry & Construction,6105,0.06553117782909931,11.820438799076213,10.0,4.074336027713626,1029343.91,22.473041281755197,0.06788769580990198,-0.23565179808026637
Fashion & Accessories,8840,0.06383651111345202,12.117454966817656,10.0,4.116835229667088,1498734.09,17.744760349731383,0.06788769580990198,-0.40511846964499526
Sports & Leisure,27227,0.06332122812809508,12.162561901617696,10.0,4.160746120831957,3522109.4,20.059096731594586,0.06788769580990198,-0.45664676818068933
Appliances,1897,0.04656985478217326,11.377566349524287,9.0,4.180771156735102,468104.38,24.59250375563345,0.06788769580990198,-2.131784102772872
