lateness_band,orders,avg_review_score,avg_delivery_days,revenue,one_star_rate,negative_review_rate,pct_of_orders
15+ days early,34693,4.316288588476062,9.79416597008042,5002999.45,0.06675698267662064,0.09223762718704061,0.36063409563409565
7-14 early,41187,4.293709180081094,10.614514288489087,5402749.04,0.06679292009614685,0.09235923956588243,0.42813929313929316
3-6 early,9487,4.180457468114262,13.541583219141984,1237213.4,0.07241488352482345,0.10635606619584695,0.09861746361746362
0-2 early,4302,4.096466759646676,17.069502556950255,550527.8,0.08275220827522083,0.1204091120409112,0.044719334719334716
1-3 days late,1869,3.28143392188336,23.2605671482076,250756.73,0.2541466024612092,0.3247726056714821,0.01942827442827443
4-7 late,1802,2.0899001109877915,28.184794672586015,287685.63,0.5899001109877914,0.6798002219755827,0.01873180873180873
8-15 late,1637,1.6731826511912034,35.54184483811851,256659.72,0.7012828344532682,0.8014660965180208,0.017016632016632015
15+ days late,1223,1.722812755519215,56.37448896156991,190516.39,0.6925592804578904,0.7841373671300081,0.012713097713097712
