cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12
2017-01-01,100.0,0.398406374501992,0.2656042496679947,0.13280212483399734,0.398406374501992,0.13280212483399734,0.398406374501992,0.13280212483399734,0.13280212483399734,0.0,0.398406374501992,0.13280212483399734,0.6640106241699867
2017-02-01,100.0,0.2366863905325444,0.2958579881656805,0.1183431952662722,0.41420118343195267,0.1183431952662722,0.2366863905325444,0.17751479289940827,0.1183431952662722,0.17751479289940827,0.1183431952662722,0.2958579881656805,0.1183431952662722
2017-03-01,100.0,0.5056398288603656,0.3500583430571762,0.38895371450797356,0.3500583430571762,0.15558148580318942,0.15558148580318942,0.31116297160637885,0.3500583430571762,0.07779074290159471,0.38895371450797356,0.11668611435239205,0.2333722287047841
2017-04-01,100.0,0.6018916595012898,0.21496130696474636,0.17196904557179707,0.3009458297506449,0.2579535683576956,0.34393809114359414,0.3009458297506449,0.3009458297506449,0.17196904557179707,0.2579535683576956,0.08598452278589853,0.08598452278589853
2017-05-01,100.0,0.48009036995199095,0.48009036995199095,0.3953685399604632,0.31064670996893534,0.33888731996611127,0.42360914995763904,0.1412030499858797,0.2541654899745835,0.2541654899745835,0.2541654899745835,0.33888731996611127,0.2541654899745835
2017-06-01,100.0,0.4513217279174726,0.3546099290780142,0.3868471953578337,0.2578981302385558,0.3868471953578337,0.3546099290780142,0.2256608639587363,0.1289490651192779,0.2256608639587363,0.3223726627981947,0.3223726627981947,0.16118633139909735
2017-07-01,100.0,0.5231493591420351,0.34004708344232276,0.23541721161391577,0.28773214752811926,0.209259743656814,0.31388961548522104,0.104629871828407,0.18310227569971227,0.26157467957101754,0.209259743656814,0.28773214752811926,0.13078733978550877
2017-08-01,100.0,0.6779661016949152,0.3389830508474576,0.26634382566585957,0.36319612590799033,0.5326876513317191,0.29055690072639223,0.26634382566585957,0.14527845036319612,0.14527845036319612,0.24213075060532688,0.1937046004842615,0.12106537530266344
2017-09-01,100.0,0.6869479882237487,0.5397448478900884,0.2944062806673209,0.4416094210009814,0.2208047105004907,0.2208047105004907,0.24533856722276742,0.2944062806673209,0.19627085377821393,0.2698724239450442,0.07360157016683022,
2017-10-01,100.0,0.7058287795992715,0.25045537340619306,0.09107468123861566,0.22768670309653918,0.20491803278688525,0.20491803278688525,0.36429872495446264,0.273224043715847,0.20491803278688525,0.20491803278688525,,
2017-11-01,100.0,0.556405619696759,0.3894839337877313,0.16692168590902767,0.19474196689386564,0.18083182640144665,0.11128112393935179,0.19474196689386564,0.12519126443177075,0.05564056196967589,,,
2017-12-01,100.0,0.2207099503402612,0.2758874379253265,0.3494574213720802,0.25749494206363804,0.20231745447857274,0.1655324627551959,0.01839249586168843,0.2207099503402612,,,,
2018-01-01,100.0,0.33084004602991945,0.35960874568469503,0.28768699654775604,0.28768699654775604,0.15822784810126583,0.17261219792865362,0.23014959723820483,,,,,
2018-02-01,100.0,0.3618628067967275,0.3933291378225299,0.29893014474512275,0.2674638137193203,0.22026431718061676,0.20453115166771552,,,,,,
2018-03-01,100.0,0.4039238315060588,0.30294287362954414,0.28851702250432776,0.1298326601269475,0.1154068090017311,,,,,,,
2018-04-01,100.0,0.5822633621976709,0.3135264257987459,0.2388772767990445,0.13436846819946252,,,,,,,,
2018-05-01,100.0,0.5160898603521554,0.2580449301760777,0.1973284760170006,,,,,,,,,
2018-06-01,100.0,0.422225975342003,0.27022462421888194,,,,,,,,,,
2018-07-01,100.0,0.5152069137443909,,,,,,,,,,,
2018-08-01,100.0,,,,,,,,,,,,
