category_group,revenue_first_period,revenue_last_period,revenue_change,growth_rate,share_of_total_growth,pct_of_revenue_last_period,months_compared
Industry & Construction,154314.16,699828.02,545513.86,3.535086216326486,0.12804928779410743,0.09533094315071744,8
Fashion & Accessories,315347.61,856934.9,541587.29,1.7174295058078926,0.12712759811976312,0.1167321254667193,8
Appliances,112645.55,302392.95,189747.40000000002,1.6844642331632276,0.04453969222850474,0.041192127639627436,8
Health & Beauty,370947.52,948275.51,577327.99,1.5563602905338199,0.1355170663181749,0.12917459168758003,8
Technology,465322.36,1109437.8,644115.4400000001,1.3842348775158797,0.1511941847805446,0.1511282040994258,8
Home & Furniture,707964.92,1570300.77,862335.85,1.218048840612046,0.20241738941669835,0.21390720170706773,8
Sports & Leisure,903593.15,1780593.47,877000.32,0.970569907485465,0.2058596024878347,0.24255338456312267,8
Other,50715.54,73273.99,22558.450000000004,0.44480350598652807,0.0052951788543722485,0.009981421685739646,8
