frequency_band,customers,orders,revenue,pct_of_customers,pct_of_revenue,revenue_per_customer,avg_order_value
1 order,91829,91829,12702404.96,0.9696524925292758,0.9444497511975452,138.32672641540256,138.32672641540256
2 orders,2639,5278,647725.13,0.027866065488949664,0.04815968627982536,245.44339901477832,122.72169950738916
3 orders,187,561,68006.29,0.001974594257837661,0.00505640655235165,363.66999999999996,121.22333333333331
4-5 orders,38,161,24782.15,0.00040125444811674394,0.001842603465670035,652.1618421052632,153.92639751552795
6+ orders,10,76,6611.15,0.00010559327582019577,0.0004915525046077298,661.115,86.98881578947368
