customer_region,customers,repeat_rate,pct_of_customers
Central-West,4492,0.02226179875333927,0.058727398710925756
Southeast,52015,0.02101316927809286,0.680032422962779
South,11115,0.019163292847503375,0.14531501261619317
North,1476,0.018292682926829267,0.019296892363607838
Northeast,7391,0.016641861723718034,0.09662827334649426
