experience,orders,customers,revenue,avg_review_score,avg_delivery_days,pct_of_orders,pct_of_revenue
On time and acceptably reviewed,81138,78723,10807601.21,4.596132514974488,10.76125859646528,0.8434303534303534,0.8200555818186713
On time but badly reviewed,8531,8420,1385888.48,1.2837885359277927,12.392919939045832,0.08867983367983368,0.1051579866539315
Late and badly reviewed,4103,4079,647246.57,1.1389227394589325,36.30246161345357,0.04265072765072765,0.049111560671795854
Late but not badly reviewed,2428,2422,338371.9,4.14827018121911,29.836079077429982,0.02523908523908524,0.0256748708556012
