category_group,product_revenue,pct_of_revenue,avg_review_score,negative_review_rate,late_rate,freight_ratio,avg_delivery_days,revenue_rank,satisfaction_rank,rank_gap
Sports & Leisure,3597499.69,0.2674814492100515,4.160829234476612,0.13184564090714027,0.06332122812809508,0.1471344196471836,12.162561901617696,1,3,2
Home & Furniture,2869067.48,0.2133210267022512,3.9379967656470427,0.18026356535801535,0.06664602257087807,0.1818139373785098,12.80921414808698,2,7,5
Technology,2100289.41,0.1561608071041485,4.0080355135985615,0.16144077320746236,0.06782423016408182,0.13668581314517345,12.964093054619015,3,6,3
Health & Beauty,1644319.64,0.12225852346682207,4.18560576395959,0.12914088808833896,0.07275432688542564,0.12509612294939104,11.795520400971101,4,1,-3
Fashion & Accessories,1535201.36,0.11414535649398264,4.117021276595745,0.1378765536128081,0.06383651111345202,0.10063424620419159,12.117454966817656,5,4,-1
Industry & Construction,1045625.42,0.0777443854824818,4.074603174603174,0.14906204906204906,0.06553117782909931,0.13154764845332031,11.820438799076213,6,5,-1
Appliances,479020.02,0.03561611680089619,4.180771156735102,0.12418627941912869,0.04656985478217326,0.09496522232742732,11.377566349524287,7,2,-5
Other,178506.66,0.013272334739366143,3.9211726384364822,0.2,0.0749185667752443,0.13526101087752618,12.728338762214984,8,8,0
