category_group,orders,customers,products_sold,sellers,units,product_revenue,freight_revenue,gmv,avg_item_price,avg_weight_g,delivered_units,avg_review_score,avg_delivery_days,late_rate,rated_units,negative_review_rate,freight_ratio,pct_of_revenue,cumulative_pct
Sports & Leisure,27695,27212,9034,1417,30807,3597499.69,620632.42,4218132.11,116.77539812380303,2245.6772382003505,30293,4.160829234476612,12.162561901617696,0.06332122812809508,30290,0.13184564090714027,0.1471344196471836,0.2674814492100515,0.2674814492100515
Home & Furniture,24084,23382,8761,938,29508,2869067.48,637552.36,3506619.84,97.23015724549275,3269.666802223126,29064,3.9379967656470427,12.80921414808698,0.06664602257087807,29064,0.18026356535801535,0.1818139373785098,0.2133210267022512,0.48080247591230274
Technology,16136,15901,4257,581,18116,2100289.41,332532.2,2432821.61,115.93560443806581,879.6547803047031,17797,4.0080355135985615,12.964093054619015,0.06782423016408182,17796,0.16144077320746236,0.13668581314517345,0.1561608071041485,0.6369632830164512
Health & Beauty,11891,11685,3279,573,12995,1644319.64,235109.27,1879428.91,126.53479338207002,896.9323585994613,12769,4.18560576395959,11.795520400971101,0.07275432688542564,12769,0.12914088808833896,0.12509612294939104,0.12225852346682207,0.7592218064832733
Fashion & Accessories,9016,8842,2876,276,9674,1535201.36,171780.87,1706982.23,158.6935455861071,1131.5965474467646,9495,4.117021276595745,12.117454966817656,0.06383651111345202,9493,0.1378765536128081,0.10063424620419159,0.11414535649398264,0.8733671629772559
Industry & Construction,6201,6138,2934,619,7029,1045625.42,158384.7,1204010.12,148.7587736520131,2842.4181249110825,6930,4.074603174603174,11.820438799076213,0.06553117782909931,6928,0.14906204906204906,0.13154764845332031,0.0777443854824818,0.9511115484597377
Appliances,1936,1863,837,198,2036,479020.02,50263.53,529283.55,235.27505893909628,3490.388506876228,1997,4.180771156735102,11.377566349524287,0.04656985478217326,1997,0.12418627941912869,0.09496522232742732,0.03561611680089619,0.9867276652606338
Other,1435,1429,600,256,1587,178506.66,27921.71,206428.37,112.48056710775047,1650.5503184713375,1535,3.9211726384364822,12.728338762214984,0.0749185667752443,1535,0.2,0.13526101087752618,0.013272334739366143,1.0
