customer_region,customers,orders,product_revenue,freight_revenue,units,avg_review_score,avg_delivery_days,median_delivery_days,late_rate,avg_order_value,avg_item_price,freight_to_price_ratio,pct_of_revenue
Southeast,64885,67146,8794685.26,1333757.0,76763,4.127829739068271,10.665813389881855,9.0,0.06126931232959709,130.9785431745748,114.56932714979872,0.15165488707892658,0.6539028106743432
South,13508,13947,1930565.23,340294.4,16027,4.151071915107192,13.967022590252052,12.0,0.05919953512021501,138.42154083315407,120.45705559368565,0.17626671956585482,0.14354146768944862
Northeast,9027,9272,1532195.96,333076.9,10338,3.8944018983928377,19.930227398779813,17.0,0.12756516916250693,165.24977998274375,148.2100947958986,0.21738531408214914,0.11392189886598325
Central-West,5533,5712,859469.14,151425.83,6573,4.0828081232493,14.944206773618538,13.0,0.06541889483065953,150.46728641456582,130.75751407272173,0.17618530201095992,0.06390328587311613
North,1773,1828,332614.09,75622.93,2051,3.963347921225383,22.53433835845896,20.0,0.08598548297040759,181.95519146608316,162.17166747927843,0.2273593701337186,0.024730536897108808
