delivery_outcome,orders,avg_review_score,median_review_score,avg_delivery_days,revenue,negative_review_rate,one_star_rate,five_star_rate,pct_of_orders
On time or early,89669,4.281000122673388,5.0,10.916492879367452,12193489.69,0.09513878820997224,0.06813949079391986,0.6204485385138677,0.9321101871101871
Late,6531,2.2576940744143315,1.0,33.89848415250344,985618.47,0.6282345735721941,0.5409585055887307,0.163221558719951,0.06788981288981288
