customer_region,orders,late_rate,avg_delivery_days,median_delivery_days,avg_review_score,revenue,avg_freight,company_late_rate,late_vs_company_pp
Northeast,9015,0.12756516916250693,19.930227398779813,17.0,3.952407366319059,1491911.33,35.96873100388242,0.06788769580990198,5.967747335260495
North,1791,0.08598548297040759,22.53433835845896,20.0,4.013958682300391,325947.65,41.33964824120603,0.06788769580990198,1.8097787160505612
Central-West,5610,0.06541889483065953,14.944206773618538,13.0,4.1196078431372545,844960.64,26.490081996434935,0.06788769580990198,-0.24688009792424442
Southeast,66020,0.06126931232959709,10.665813389881855,9.0,4.167287709412585,8621941.34,19.840223114207816,0.06788769580990198,-0.6618383480304885
South,13767,0.05919953512021501,13.967022590252052,12.0,4.182102128277766,1895016.99,24.348429577976322,0.06788769580990198,-0.8688160689686968
