customer_region,orders,avg_delivery_days,median_delivery_days,avg_days_vs_estimate,median_days_vs_estimate,late_rate,avg_review_score,avg_promise_padding_days
North,1791,22.53433835845896,20.0,-15.536013400335008,-17.0,0.08598548297040759,4.013958682300391,15.536013400335008
South,13767,13.967022590252052,12.0,-13.000363187332026,-14.0,0.05919953512021501,4.182102128277766,13.000363187332026
Central-West,5610,14.944206773618538,13.0,-12.261675579322638,-13.0,0.06541889483065953,4.1196078431372545,12.261675579322638
Southeast,66020,10.665813389881855,9.0,-11.496970614965162,-12.0,0.06126931232959709,4.167287709412585,11.496970614965162
Northeast,9015,19.930227398779813,17.0,-11.241597337770383,-13.0,0.12756516916250693,3.952407366319059,11.241597337770383
