top_n_percent,sellers,cumulative_revenue,cumulative_pct_of_revenue
1,30,3467152.58,0.25778987537057135
5,151,7139931.289999999,0.5308684734617426
10,302,9052355.14,0.6730610924976226
20,605,11092514.989999998,0.824751144011751
50,1514,13008667.89,0.9672210255310579
100,3029,13449529.68,1.0
