order_month,product_revenue,freight_revenue,gmv,units,sellers,orders,customers,avg_order_value,items_per_order,freight_ratio,pct_of_total_revenue,prev_month_revenue,mom_revenue_growth,mom_order_growth,yoy_revenue_growth,running_revenue,revenue_3m_avg,aov_3m_avg
2017-01-01,120098.27,16845.19,136943.46,953,226,787,753,152.60263024142313,1.2109275730622617,0.12300835687954723,0.008929551654032263,,,,,120098.27,120098.27,152.60263024142313
2017-02-01,244959.35,38602.340000000004,283561.69,1936,425,1718,1693,142.58402211874272,1.1268917345750873,0.13613383387579614,0.018213227958763834,120098.27,1.0396576070579533,1.1829733163913594,,365057.62,182528.81,147.59332618008293
2017-03-01,368341.32,57276.64,425617.96,2975,490,2617,2577,140.74945357279327,1.1367978601452045,0.1345728925536883,0.027386929414174133,244959.35,0.5036834478863534,0.5232828870779977,,733398.94,244466.31333333335,145.31203531098637
2017-04-01,353842.98,52005.63,405848.61,2660,503,2377,2345,148.8611611274716,1.1190576356752209,0.12814046597326031,0.026308948224872054,368341.32,-0.039361155571685624,-0.09170806266717613,,1087241.92,322381.2166666667,144.0648789396692
2017-05-01,503159.19,79551.64,582710.83,4106,577,3640,3569,138.2305467032967,1.128021978021978,0.13651992704511773,0.03741091339039299,353842.98,0.42198437849466464,0.5313420277660916,,1590401.1099999999,408447.83,142.61372046785388
2017-06-01,429916.61,69735.63,499652.24,3571,534,3205,3142,134.13934789391575,1.1141965678627146,0.1395683325666668,0.03196517798234265,503159.19,-0.14556542234675274,-0.11950549450549453,,2020317.7199999997,428972.9266666667,140.41035190822802
2017-07-01,492287.3,86466.43,578753.73,4493,602,3946,3872,124.75603142422706,1.1386213887480994,0.14940107599824884,0.03660256616497537,429916.61,0.1450762509501553,0.23120124804992193,,2512605.0199999996,475121.0333333334,132.37530867381318
2017-08-01,568245.79,93657.73,661903.52,4882,700,4272,4191,133.0163366104869,1.1427902621722847,0.14149755541411835,0.04225023502829283,492287.3,0.15429707408661586,0.08261530663963512,,3080850.8099999996,496816.5666666667,130.63723864287655
2017-09-01,621415.91,95686.81,717102.72,4815,726,4227,4154,147.0110977052283,1.1391057487579843,0.13343529083253233,0.04620354204088422,568245.79,0.0935688762427962,-0.010533707865168496,,3702266.7199999997,560649.6666666667,134.9278219133141
2017-10-01,660179.62,104576.41,764756.03,5300,773,4547,4481,145.19015174840555,1.165603694743787,0.13674479951468968,0.04908570304742433,621415.91,0.06237965487558883,0.07570380884788275,,4362446.34,616613.7733333334,141.73919535470694
2017-11-01,1003862.14,168329.54,1172191.68,8626,960,7421,7313,135.2731626465436,1.1623770381350222,0.14360240127280208,0.07463920032034904,660179.62,0.5205894117119216,0.6320650978667253,,5366308.4799999995,761819.2233333333,142.49147070005915
2017-12-01,742183.79,119342.98,861526.77,6300,859,5618,5551,132.10818618725526,1.1213955144179424,0.138524981643925,0.05518288056597679,1003862.14,-0.26067159978759635,-0.242959169923191,,6108492.27,802075.1833333332,137.52383352740148
2018-01-01,945456.29,156463.72,1101920.01,8173,968,7187,7088,131.55089606233477,1.137192152497565,0.14199190374989198,0.07029660608920267,742183.79,0.2738843164440441,0.2792808828764686,6.872355613448886,7053948.56,897167.4066666667,132.97741496537787
2018-02-01,837895.43,141590.73,979486.16,7597,933,6624,6468,126.49387530193238,1.1468900966183575,0.1445561313495231,0.062299236474118856,945456.29,-0.11376608431046553,-0.07833588423542504,2.4205488788241807,7891843.989999999,841845.17,130.05098585050746
2018-03-01,981051.06,171605.93,1152656.99,8195,993,7168,7077,136.8653822544643,1.1432756696428572,0.1488785748828886,0.07294314993474181,837895.43,0.17085142712856194,0.08212560386473422,1.663429288899763,8872895.049999999,921467.5933333334,131.63671787291048
2018-04-01,993592.98,162655.91,1156248.89,7957,1116,6919,6863,143.6035525364937,1.1500216794334441,0.14067551667011763,0.07387566730140113,981051.06,0.012784166402103336,-0.0347377232142857,1.80800534745666,9866488.03,937513.1566666667,135.65427003096346
2018-05-01,992871.75,152814.71,1145686.46,7898,1107,6833,6775,145.30539294599737,1.1558612615249524,0.13338266212904357,0.07382204237791608,993592.98,-0.000725880732369899,-0.012429541841306513,0.9732755949464025,10859359.78,989171.93,141.92477591231844
2018-06-01,863265.53,157116.37,1020381.9,7060,1168,6145,6106,140.4825923515053,1.1489015459723353,0.15397800568591033,0.06418555522307305,992871.75,-0.13053671836266867,-0.10068783843114293,1.0079836645529934,11722625.309999999,949910.0866666668,143.13051261133214
2018-07-01,878044.27,161739.31,1039783.58,7039,1245,6233,6172,140.87025028076368,1.1293117278998877,0.1555509368593799,0.06528438472504267,863265.53,0.017119576174899453,0.014320585842148015,0.7836013035477454,12600669.579999998,911393.8500000001,142.21941185942214
2018-08-01,848860.1,148113.41,996973.51,7216,1266,6421,6380,132.20060738202773,1.1238124902663136,0.1485630345384001,0.06311448208202326,878044.27,-0.03323769768465101,0.03016204075084228,0.4938255855797893,13449529.679999998,863389.9666666668,137.85115000476557
