order_month,delivered_orders,late_rate,avg_delivery_days,median_delivery_days,avg_review_score,negative_review_rate,late_rate_change_pp
2017-01-01,750,0.029333333333333333,12.753333333333334,11.0,4.185333333333333,0.124,
2017-02-01,1653,0.029643073200241985,13.300060496067756,11.0,4.1893526920750155,0.11373260738052027,0.030973986690865235
2017-03-01,2546,0.04556166535742341,13.044383346425766,10.0,4.173605655930872,0.11586802827965435,1.5918592157181426
2017-04-01,2303,0.06556665219279201,15.02301346070343,13.0,4.129830655666522,0.13069908814589665,2.0004986835368594
2017-05-01,3545,0.029901269393511988,11.427080394922426,10.0,4.225952045133991,0.10493653032440056,-3.566538279928002
2017-06-01,3135,0.030303030303030304,12.012759170653908,11.0,4.207017543859649,0.11100478468899522,0.04017609095183158
2017-07-01,3872,0.027892561983471075,11.488894628099173,10.0,4.247159090909091,0.10304752066115702,-0.24104683195592286
2017-08-01,4193,0.02909611256856666,11.016455998092058,10.0,4.298592892916766,0.09754352492248987,0.12035505850955842
2017-09-01,4150,0.04385542168674699,11.722650602409638,10.0,4.252048192771085,0.10650602409638554,1.4759309118180333
2017-10-01,4478,0.041759714158106295,11.733139794551139,10.0,4.190263510495757,0.1143367574810183,-0.2095707528640696
2017-11-01,7288,0.12403951701427003,15.073133918770582,13.0,3.9754390779363336,0.16931942919868276,8.227980285616374
2017-12-01,5513,0.07455106112824234,15.30564121168148,13.0,4.071104661708689,0.14910212225648467,-4.94884558860277
2018-01-01,7069,0.05700947800254633,14.005799971707455,12.0,4.092799547319282,0.14160418729664734,-1.7541583125696008
2018-02-01,6555,0.14126620900076278,16.87337909992372,14.0,3.867581998474447,0.19679633867276888,8.425673099821646
2018-03-01,7003,0.18963301442239042,16.23761245180637,13.0,3.796658574896473,0.21619306011709266,4.836680542162764
2018-04-01,6798,0.04501323918799647,11.419388055310385,9.0,4.193909077534206,0.12049433573635428,-14.461977523439396
2018-05-01,6749,0.06563935397836716,11.336494295451178,9.0,4.228215767634855,0.11025489033787789,2.0626114790370695
2018-06-01,6096,0.011646981627296589,9.164534120734908,8.0,4.300902378999179,0.10139458572600492,-5.399237235107057
2018-07-01,6156,0.03378817413905133,8.887751786874594,7.0,4.303768680961664,0.10006497725795971,2.214119251175474
2018-08-01,6351,0.061880018894662256,7.658164068650606,7.0,4.303731695795937,0.09715005510943159,2.8091844755610924
