first_experience,customers,repeat_rate,avg_first_review,avg_delivery_days
First delivery late,5686,0.017938797045374603,2.1873021456208233,35.55328877945832
First delivery on time,69332,0.020466739744995095,4.2604425085097795,11.61230023654301
First review 1-2 stars,10442,0.019823788546255508,1.2324267381727638,21.699099789312392
First review 3 stars,6484,0.018969771745835903,3.0,15.084361505243677
First review 4-5 stars,58092,0.02050196240446189,4.74249466363699,11.754992081525856
