first_experience,customers,returned,repeat_90d_pct,avg_first_review,avg_first_delivery_days,vs_on_time_pp
First delivery on time,69332,1419,2.047,4.26,11.6,0.0
First delivery late,5686,102,1.794,2.187,35.6,-0.253
